id,difficulty,hash,puzzle,solution
1000001,Easy,cf71f13b5ceb51f4481e1db9a2e1fe4de4393314cb6d565301cabdfd84667d70,.AF64.G....7....5D.7.A6F89B..3E4.3..B9...A2..D.5..815D..E.4G6AF2C...F2A.1B8.3.G.8.1...D..4.3..6..4G38B91.2F.D57C.26A...G..CD.B.8.CD56F...81.4E3G1...7C.D.E.42.A.GE.4..B9.F6..C...FA..E4..C75.8.1A6..3..45..C81B991..D7C..G..F.....4E9.8.2..FC.5.D.5CA6..B198.G4.,2AF643GECD57198B5DC72A6F89B1G3E443EGB918FA267DC5B9815D7CE34G6AF2C57DF2A61B8934GE8B19C5D7G4E3A26FE4G38B9162FAD57CF26AE43G75CD9B187CD56F2A981B4E3G189B7C5D3EG42FA6GE3418B9AF625CD76FA2GE43DC75B891A62F3GE457DC81B991B8D7C54G3EF62A3G4E918B26AFC75DD75CA6F2B198EG43
1000002,Easy,332d1395611e0b313787f0588d8983332ca21f57277a87cbd6fa473669792b0f,29...A4.CD.8.F653...CD8..6.F...2.6F.1..2BA..C..GGD8C.6.51.2.B.A36FE527193.ABG..D9..2.4.AG8DC5EF...B3..CD5..E.179D...5........B....GD...F917.A.B4F....1..A.43.G..4B3ADCG86....21.71..AB3.DC...5EF1.9743A..G.DF..E....8G...5E679..CGD.F56E7.19.A3BE5.F......B.8..C,2971BA43CDG8EF653A4BCD8GE65F179256FE1972BA34C8DGGD8CE6F51927B4A36FE5271934ABGC8D971234BAG8DC5EF6A4B3G8CD5F6E2179D8CG5FE627913B4A8CGD6E5F9172A3B4FE569127AB43DGC84B3ADCG86EF592177129AB34DC8G65EF129743AB8GCDF65EB3A48GDCF5E67921CGD8F56E72194A3BE56F729143BA8DGC
1000003,Easy,5cb57add669f99ec3851885c4cd5518e243d38caf2f3894c11c7eac1676e1852,3..GCE.B.D92485.74.5.....EB.D69..D6..475.1G.EC....CB6D.9.45....35.7...G1FC...2....FE26.D78..A31G.A.1....26D.87...62D78543..G.F.BCB.F..62...8G..A.G.3EB.FD..65..869..4.8..G3AB.FC8.4..G.3EBF.9D....G.B...9.6..584.F.C9.D657..3G.1.2.6.748G..1FB.E4758G.1.BFC.....,31AGCEFB6D9248577485A13GCEBFD6922D698475A1G3ECBFFECB6D2984571AG358743AG1FCEB62D9BCFE269D7845A31GGA31FCBE26D98745962D78543A1GCFEBCBEFD9624578G13AAG13EBCFD926547869D245871G3ABEFC85471GA3EBFC9D2613GABFEC926D7584EFBC92D657843GA1D2965748G3A1FBCE4758G31ABFCE296D
4000001,Expert,7286e646c1940acd4e2f8165b339a546887a264b3ee9bd352ffb55b18fd763a5,4BD1C8.A7E..3F.639F..E5..8.6...1.A..6.9.D312.....76.D.34.BCGE..815.94.....2D.7..C.E4.5.6..3.......7.G9...5..12C.GD.B.3F89.....E.A.G5....E.B79D.....E9D7.2....B.4.C..A..3.6D95..2.4932.E.G...687..1..32.G..F4CA....5..4C9BDGA....BE.D.A.FC9..2....G..8.6......5..,E3219CGD75AF4B86A5F936B4C2G871ED4CG687E193BDF2A578DBF2A514E6GC939D5GA8F746CE132B6AB421935DFGC87EC7384EDGB912A65F21EF6B5C873A9D4GD247B519EC638FGA5B1A7F62G8493EDCGF93EDC8AB27651486CEG43AF1D527B9BGA2C37EDF8459611E7D5G8F6A9CB432398C1A462E5BDGF7F465D92B3G71EAC8
4000002,Expert,7e8c98058090b6dd63548da0ade8f2be89cf9d17b8711b43ba2ee3c969e094a1,2EFB8.1G.9.D64A.A.5.B9D..7G.F.....C.F53...A6.........C6......G..E..2....9.1AG7.4.8..9.G5.D2.E1..G5.C.2.1.64.9FD.....DB..CG..3A.6B..8...F..75......2A3.5.F.E.4..7...5CG.7..39....3........A...5FC526....BG1F...4.1..E...3......6F84.3......6C19.D.C7D21...3845BGE,2EFB871G39CD64A5A356B9D487G1FCE27GC1F5324EA6BD899D84EC6A5FB27G13EBD263FC981AG75468AF94G57D23E1CBG53CA271E64B9FD84917DBE8CG5F3A26B6984A2F1C75DE3GC12A365DFBEG4897DFE5CG872439A6B1374G1EB96AD825FC52697DCBG1FE834A1ABEG843D597C26F84G35FAEB26C197DFC7D2196A3845BGE
4000003,Expert,51a12363dfd6c7e8680fca573565ba7a7953dd93a0af8a44cc19e79470caa628,4C5.3B..9GE..8.....1.D..C..A.76...E3...C8.745.D9D9.A.8...23.......C....4.6.3BA9F..1.6C.3...985246.A4B9D.E8F.C..1....G.8..C.1.D..74.D5.3.....A.8B2.8.A4..3.6.7..C.16.........93GDC.GBD12.A....65..G.6..F..3B2..CA1A.....5.9C6.....8D.26G..F.E...5.E4..AB.G58..F.6,42AB176F58G9EDC3DC5FB392A4E7G18678G3D45E1CB69FA29E61GC8A23FD57B4E3D5A941G278CB6FB7C83EFD496A152G1AF276GBCE53D498649G82C5BD1F3AE72B8A6G7C35DE49F1G94DF12376AC8E5B361CE5A8FB942G7DF57E4BD98G216C3ACF349AE7D182B6G581B95F36E74GA2DC5DE7281G6ACBF349AG26CDB49F35781E
2000001,Intermediate,0df2464de1dcff28ceacda59e2d9c5ead9d805558b62119102ab4e7d66138ea6,D.E17...24..8...B3.A5..G.CF.9...C5..ED94..AB2.F....8...B....7...6BA39.5..7CEG.8F..C.G.2D65BA.3477.8E.A.6G1.FB5.....2BE7...34A.C1..D9.7.5B..2CF..3.6C....4.7D5G1.FE17CBG3..58...25..421.E.3.C6.7.91...5E7..634.2..7.DA.6..F4.19BC.C.....972.13D6.......1.A..9..5.,D938E46F17GCAB5215CA872GBE6394DF4B26D1CA859FE73GEFG73B5924DA861CFE41B3D6A289G5C77A6C98G5D3E4F12B8GB92EF1C675D34A325D4A7CFGB16E9828746GB3EF1DC9A5G1DBF5A49C2678E3539E1C8D7A4B2GF6C6AF729E583G4DB194E5CF376BA812GDBC8GA6124D5E3F796DF2G9EB31C75A84A7135D48G9F2BC6E
2000002,Intermediate,a0c9fc19e5e6705ef1f6323d04ab755971ba72441db9a43cce3223cb874f65e1,....C9.8FGD6E.5778.F64...A5.....9.5C7FG..38E.4BD....E3A..B4..9.C..G..6.A5.F.3........7.G....B6.4..7..D3.46.81C.A69..B.84C.3...7.5E21.B4.6.CF.3..BG.68C2E.D1...4.C.A.3.F98.27GB..3F.7.16..4.5C.E.F5.8.....C..AE32A7B9F8..256.4.D.4.32..B1.8EG97..G..E.....F745...,GB18DAE5C74F3269FE4719G68D32CAB539C2B8F4G5A6ED1765DAC327B19E8GF494AF25CG16E87B3DD6BE97835FG4A1C21C5GAFBE237D4986728364D1A9CBF5GEA1F63C48E25GD79B5DE4G21B7C896FA3832B7E9FDA615C4GC7G956AD4BF31E28EF6C8B593GDA2471BG31FD7C642598EA4A7DEG32981CB65F2895416AFEB7G3DC
3000001,Hard,cc73120029ad211e97285c8ea7b011626e3762a9d48768cc93136ee16216cab3,1G.9.B2.E...76D5.2..D.E.G679.4.87D.68G.9.5B.C..EE.F.4C7.D....GA96..8..3.2EF...1D...1B.D.5.83E.4.47.3..8.A...2....CE.G.1.69.B5...9....A.......E64.EAG6.5...341.FB.4.F.DB.1.E79..2..1...4.....D7.A5.C4.1.....G...7B...E..G.3.5A2.1..2EF4A57BD.63C.G13A2......E4B5F,7CA9G48F1E3562BDDF581ECB2A67934G1G345762FD9B8CAE62EB93ADG8C47F15G3DC4BEA8219F6574E7AD8956FB321GC9B6F2CG1A75D48E325813F764GECAD9BFDC3B25G96A8E4718A2576FEC14GDB39E41G89D35B72CAF6B697CA14D3FE5G2859GD61B8742F3ECAA746EG2C39D1B58F38FEA547BCG619D2C1B2FD39E58AG764
3000002,Hard,d5787cc3a4312d3d86fdd61c9147546129a0909e4ce77d00473e7619e32c8285,...3B..F2..A65.8D...C813..9..4.B76...G..3CFE..D2E9....768B4..3.C.D327B..E.64A..9G..642.A.3587B1..BA.9..5D72C......47..6DFA1...GE.8.1.C52G4..B.9FB2G..4.9....5A...3...F.....62D...49C.6DE...58.31.1.8E.9B.FC.4....A.9D.2C.......3.7..6..G....D.BA2GD4..38A1...C..,DB8E54612C9A37GF654GCEA7F1D3928BF12A9D837B6GE54C937CBG2F485E6AD1B4E7GAFDC5328619891F3574GDA62BCEGD5682CB9FE1437AAC3216E9B784DGF52AC3F8DE641759BG48G1A796532BFCED76BD4C15E9GFA832EF952B3GDAC814675E64D3GC1279BFA817A96F583GBDCE24CGF8E1B2A6457D9332DB794A8EFCG156
